site,treatment,species,obs_round,date,year,count,obs_round_1_recaptures,obs_round_2_recaptures,obs_round_1_and_2_double_recaptures,notes
prince of wales,1,Bombus mixtus,1,6.23.2022,1,2,NA,NA,NA,
prince of wales,1,Bombus mixtus,2,6.26.2022,1,2,0,NA,NA,
prince of wales,1,Bombus mixtus,3,7.1.2022,1,0,0,0,0,
prince of wales,1,Bombus flavifrons,1,6.23.2022,1,7,NA,NA,NA,
prince of wales,1,Bombus flavifrons,2,6.26.2022,1,6,2,NA,NA,
prince of wales,1,Bombus flavifrons,3,7.1.2022,1,6,2,0,0,
prince of wales,1,Agapostemon texanus,1,6.23.2022,1,1,NA,NA,NA,
prince of wales,1,Agapostemon texanus,2,6.26.2022,1,0,0,NA,NA,
prince of wales,1,Agapostemon texanus,3,7.1.2022,1,0,0,0,0,
killarney,1,Bombus mixtus,1,6.22.2022,1,8,NA,NA,NA,
killarney,1,Bombus mixtus,2,6.25.2022,1,6,1,NA,NA,
killarney,1,Bombus mixtus,3,6.28.2022,1,4,0,1,0,
killarney,1,Bombus flavifrons,1,6.22.2022,1,13,NA,NA,NA,
killarney,1,Bombus flavifrons,2,6.25.2022,1,17,1,NA,NA,
killarney,1,Bombus flavifrons,3,6.28.2022,1,11,1,1,1,
killarney,1,Agapostemon texanus,1,6.22.2022,1,5,NA,NA,NA,
killarney,1,Agapostemon texanus,2,6.25.2022,1,7,0,NA,NA,
killarney,1,Agapostemon texanus,3,6.28.2022,1,5,0,0,0,
west memorial,1,Bombus mixtus,1,6.24.2022,1,1,NA,NA,NA,
west memorial,1,Bombus mixtus,2,6.26.2022,1,1,0,NA,NA,
west memorial,1,Bombus mixtus,3,6.30.2022,1,1,0,0,0,
west memorial,1,Bombus flavifrons,1,6.24.2022,1,3,NA,NA,NA,
west memorial,1,Bombus flavifrons,2,6.26.2022,1,5,1,NA,NA,
west memorial,1,Bombus flavifrons,3,6.30.2022,1,1,0,0,0,
west memorial,1,Agapostemon texanus,1,6.24.2022,1,0,NA,NA,NA,
west memorial,1,Agapostemon texanus,2,6.26.2022,1,1,0,NA,NA,
west memorial,1,Agapostemon texanus,3,6.30.2022,1,0,0,0,0,
locarno,1,Bombus mixtus,1,6.24.2022,1,2,NA,NA,NA,
locarno,1,Bombus mixtus,2,6.27.2022,1,5,1,NA,NA,
locarno,1,Bombus mixtus,3,6.30.2022,1,2,0,0,0,
locarno,1,Bombus flavifrons,1,6.24.2022,1,5,NA,NA,NA,
locarno,1,Bombus flavifrons,2,6.27.2022,1,4,0,NA,NA,
locarno,1,Bombus flavifrons,3,6.30.2022,1,4,0,0,0,
locarno,1,Agapostemon texanus,1,6.24.2022,1,15,NA,NA,NA,
locarno,1,Agapostemon texanus,2,6.27.2022,1,23,2,NA,NA,
locarno,1,Agapostemon texanus,3,6.30.2022,1,4,0,0,0,
balaclava,0,Bombus mixtus,1,6.24.2022,1,1,NA,NA,NA,
balaclava,0,Bombus mixtus,2,6.27.2022,1,0,0,NA,NA,
balaclava,0,Bombus mixtus,3,6.30.2022,1,0,0,0,0,
balaclava,0,Bombus flavifrons,1,6.24.2022,1,1,NA,NA,NA,
balaclava,0,Bombus flavifrons,2,6.27.2022,1,0,0,NA,NA,
balaclava,0,Bombus flavifrons,3,6.30.2022,1,0,0,0,0,
balaclava,0,Agapostemon texanus,1,6.24.2022,1,0,NA,NA,NA,
balaclava,0,Agapostemon texanus,2,6.27.2022,1,0,0,NA,NA,
balaclava,0,Agapostemon texanus,3,6.30.2022,1,0,0,0,0,
kensington,0,Bombus mixtus,1,6.24.2022,1,5,NA,NA,NA,
kensington,0,Bombus mixtus,2,6.25.2022,1,0,0,NA,NA,
kensington,0,Bombus mixtus,3,6.27.2022,1,0,0,0,0,
kensington,0,Bombus flavifrons,1,6.24.2022,1,1,NA,NA,NA,
kensington,0,Bombus flavifrons,2,6.25.2022,1,1,0,NA,NA,
kensington,0,Bombus flavifrons,3,6.27.2022,1,0,0,0,0,
kensington,0,Agapostemon texanus,1,6.24.2022,1,0,NA,NA,NA,
kensington,0,Agapostemon texanus,2,6.25.2022,1,0,0,NA,NA,
kensington,0,Agapostemon texanus,3,6.27.2022,1,2,0,0,0,
moberly,0,Bombus mixtus,1,6.23.2022,1,7,NA,NA,NA,
moberly,0,Bombus mixtus,2,6.25.2022,1,2,0,NA,NA,
moberly,0,Bombus mixtus,3,6.27.2022,1,1,0,0,0,
moberly,0,Bombus flavifrons,1,6.23.2022,1,0,NA,NA,NA,
moberly,0,Bombus flavifrons,2,6.25.2022,1,0,0,NA,NA,
moberly,0,Bombus flavifrons,3,6.27.2022,1,0,0,0,0,
moberly,0,Agapostemon texanus,1,6.23.2022,1,14,NA,NA,NA,
moberly,0,Agapostemon texanus,2,6.25.2022,1,2,0,NA,NA,
moberly,0,Agapostemon texanus,3,6.27.2022,1,2,0,0,0,
oak meadows,1,Bombus mixtus,1,6.23.2022,1,5,NA,NA,NA,
oak meadows,1,Bombus mixtus,2,6.24.2022,1,5,0,NA,NA,
oak meadows,1,Bombus mixtus,3,6.27.2022,1,1,0,0,0,
oak meadows,1,Bombus flavifrons,1,6.23.2022,1,22,NA,NA,NA,
oak meadows,1,Bombus flavifrons,2,6.24.2022,1,30,5,NA,NA,
oak meadows,1,Bombus flavifrons,3,6.27.2022,1,16,0,4,2,
oak meadows,1,Agapostemon texanus,1,6.23.2022,1,8,NA,NA,NA,
oak meadows,1,Agapostemon texanus,2,6.24.2022,1,2,0,NA,NA,
oak meadows,1,Agapostemon texanus,3,6.27.2022,1,1,0,0,0,
bobolink,0,Bombus mixtus,1,6.23.2022,1,0,NA,NA,NA,
bobolink,0,Bombus mixtus,2,6.25.2022,1,2,0,NA,NA,
bobolink,0,Bombus mixtus,3,6.28.2022,1,0,0,0,0,
bobolink,0,Bombus flavifrons,1,6.23.2022,1,0,NA,NA,NA,
bobolink,0,Bombus flavifrons,2,6.25.2022,1,0,0,NA,NA,
bobolink,0,Bombus flavifrons,3,6.28.2022,1,1,0,0,0,
bobolink,0,Agapostemon texanus,1,6.23.2022,1,6,NA,NA,NA,
bobolink,0,Agapostemon texanus,2,6.25.2022,1,8,0,NA,NA,
bobolink,0,Agapostemon texanus,3,6.28.2022,1,0,0,0,0,
quilchena,0,Bombus mixtus,1,6.23.2022,1,2,NA,NA,NA,
quilchena,0,Bombus mixtus,2,6.27.2022,1,0,0,NA,NA,
quilchena,0,Bombus mixtus,3,6.30.2022,1,1,0,0,0,
quilchena,0,Bombus flavifrons,1,6.23.2022,1,2,NA,NA,NA,
quilchena,0,Bombus flavifrons,2,6.27.2022,1,1,0,NA,NA,
quilchena,0,Bombus flavifrons,3,6.30.2022,1,2,0,0,0,
quilchena,0,Agapostemon texanus,1,6.23.2022,1,7,NA,NA,NA,
quilchena,0,Agapostemon texanus,2,6.27.2022,1,1,0,NA,NA,
quilchena,0,Agapostemon texanus,3,6.30.2022,1,1,0,0,0,
prince of wales,1,Anthidium oblongatum,1,7.19.22,1,0,NA,NA,NA,
prince of wales,1,Anthidium oblongatum,2,7.21.22,1,1,1,NA,NA,
prince of wales,1,Anthidium oblongatum,3,7.23.22,1,2,0,0,0,
prince of wales,1,Halictus rubicundus,1,7.19.22,1,40,NA,NA,NA,
prince of wales,1,Halictus rubicundus,2,7.21.22,1,44,0,NA,NA,
prince of wales,1,Halictus rubicundus,3,7.23.22,1,28,1,0,0,
prince of wales,1,Melissodes microsticta,1,7.19.22,1,0,NA,NA,NA,
prince of wales,1,Melissodes microsticta,2,7.21.22,1,10,0,NA,NA,
prince of wales,1,Melissodes microsticta,3,7.23.22,1,25,0,0,0,
prince of wales,1,Megachile montivaga,1,7.19.22,1,1,NA,NA,NA,not 100% on ID
prince of wales,1,Megachile montivaga,2,7.21.22,1,0,0,NA,NA,
prince of wales,1,Megachile montivaga,3,7.23.22,1,1,0,0,0,
killarney,1,Anthidium oblongatum,1,7.20.22,1,5,NA,NA,NA,
killarney,1,Anthidium oblongatum,2,7.22.22,1,2,0,NA,NA,
